'序号,'昵称,'视频ID,'视频标题,'发布时间↓,'点赞↓,'评论↓,'分享↓,'商品标题,商品销量,商品价格,'抖音号,'UID,'视频地址,'商品地址,'粉丝福利,'商品来源,'商品id,'音乐id,,音乐链接
'12,'豆豆_Babe,'6830704246120402179,'平价水乳来啦 我这次的眼光还是不错滴,'2020-05-25 17:01:36,'130567,'6820,'1388,'豆豆 韩国SOOFEE树霏水乳白桦树活力补水保湿,'4927,'109,'5144228,'53304917615,'http://v26-dy.ixigua.com/eca937c3e737ec20245cfbef58318dba/5f09c979/video/tos/cn/tos-cn-ve-15/54771f36d8ff4c92ae77e22c389e7ee2/?a=1128&br=3090&bt=1030&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=M2U6ZzhzNThydTMzOWkzM0ApZ2VmZzM8PGU1NzpoNWhkO2dyby5gNl5fYTJfLS1gLS9zcy41M18yMGEtLTY0My4uNWM6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DxUfZoWUOsC5w4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMcGS%2BVlnCK99MMgx22UI05aMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uj3%2FUMYYoC1bAmS6%2F6OpymwapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305058@0b0b092e_4095_172bcc701fc_7923@01,','来自淘宝人气：174469,'614796683472,'6830704392447068935,,Violet Days《Libertines Jacket》https://c.y.qq.com/base/fcgi-bin/u?__=xsEaWwQ @QQ音乐
'13,'豆豆_Babe,'6828104769119276291,'夏季驱蚊好物来啦 猪猪们漂亮的脸蛋可不要被咬哦,'2020-05-18 16:54:21,'170392,'7508,'3707,'豆豆 新西兰纽西之谜小精灵ukiwi精灵水夏日驱蚊水防蚊喷雾150ml,'7030,'89,'5144228,'53304917615,'http://v26-dy.ixigua.com/013f1926e84d1ddb033279c5aab9fc40/5f09c992/video/tos/cn/tos-cn-ve-15/b041c3fe061847868039c2bf8a6cfe69/?a=1128&br=2934&bt=978&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=M3c1b2lsdXQ3dTMzO2kzM0ApNGc6NjY2Mzw7N2ZkaTwzZmdtZG1fM280Xi5fLS1iLS9zc18tXjEtYjY0YV5eXi81NDM6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DYP5LzrhX7hdw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMdcdueFutEanRitN3%2FurF3yMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uiDPMCzgbSCUiaYgVEwysdxapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592304961@0b588f42_2ea5_172bcc586b6_7a70@01,','来自淘宝人气：151066,'616967047024,'6828104947541134093,,Foxtail-Grass Studio《grass*harvest》https://c.y.qq.com/base/fcgi-bin/u?__=44oaWw6 @QQ音乐
'14,'豆豆_Babe,'6827350435590933771,'精致猪猪的秀发补水笔 真的好喜欢呀,'2020-05-16 16:07:08,'430512,'12429,'5447,'潘婷免洗秀发补水笔旗舰店护发素水乳精华改善毛躁护发精油便携,'8779,'99,'5144228,'53304917615,'http://v26-dy.ixigua.com/e44205c139ff8bdc3f78f790d1b9c1b1/5f09c99b/video/tos/cn/tos-cn-ve-15/c787d8f37fb14693ba52c184e275c321/?a=1128&br=3606&bt=1202&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=anA7ZmlrNHRxdDMzOmkzM0ApZTQ6aTRoZ2Q0Nzk5ZmY1ZWctYWJrbl41L3NfLS1fLS9zczExNDA0Ly42LWFgLy9hMi86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DoKVtp4eoM7Fw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMT24EZx7xrXm79%2FTFaMDK6SMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrM%2FmWKMMW8Daomt%2BbG1%2FN%2F%2Fowe6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxJ6P%2Fjo9mSm0fWsUjZoD5RCwVW5tZvopGGkQRwGjoeT3m%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCP8lzN0Wk2RWC%2Bob0vRQ70tz2TFFEd9SqY%3D&union_lens=lensId:TAPI@1589616429@0b847678_0e72_1721c85c8bb_10ce@01,'https://uland.taobao.com/ccoupon/edetail?e=lC7VBPzo7hkE%2BdAb1JoOOrTUfDMWep%2Bjxj2pUsjZfPe9h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrS3%2FM4lAwO%2BXrOugqOzy%2BV3F8WVlIJ68AEy5otPERvyno4uTMKfHYjBooUWlYkmfDjAJPvlWxLK8H1dVCDh3SPVGQEUOOnR88g%3D%3D&traceId=0b0b19cb15896164292088448e&union_lens=lensId:TAPI@1589616429@0b847678_0e72_1721c85c8bb_10ce@01,'来自淘宝人气：182500,'614505000515,'6827350623202102024,,山下康介 (やました こうすけ)《新学期スタート! (新学期开始!)》https://c.y.qq.com/base/fcgi-bin/u?__=c0aaWwJ @QQ音乐
'15,'豆豆_Babe,'6825507824743861508,'这几块腮红就是夏天超美女团色呀 太好看了吧,'2020-05-11 16:57:03,'874682,'35975,'18807,'小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色9g,'92345,'99,'5144228,'53304917615,'http://v26-dy.ixigua.com/8465d5a3483d7716ed8f4157ee413ee9/5f09c9c6/video/tos/cn/tos-cn-ve-15/7fc04c8ebad74b7a96ece0fc0e4570b7/?a=1128&br=2895&bt=965&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=M3RqbXl0PG5qdDMzOmkzM0ApO2lpNzRlODw1N2k1ZjZkNmdqZS0uMmVwcXBfLS01LS9zczYwXjE0LmNgXjJhYS0zMzA6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DtqU2TwKIfDpw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMfd6W7FUR6BNxq3IhSJN6GSMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMlZJzdBur2T90BhTi5afsbwtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ugab44rQfcOqp7deUWVIhcJapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1589187424@0b847666_0e86_17202f3b19d_2ac0@01,'https://uland.taobao.com/ccoupon/edetail?e=aDgQxCHsiwYE%2BdAb1JoOOvADEoMJUr0EVVKMzwLoCKu9h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrdiGlVXLfx%2BnrOugqOzy%2BV3F8WVlIJ68ANG8w%2FVRcqRKSn4qX%2Brddxias34aRsvQrdl4X1VWjKahsORLudimHRPwzMkbdI9YZA%3D%3D&traceId=0b0143f615891874246348727e&union_lens=lensId:TAPI@1589187424@0b847666_0e86_17202f3b19d_2ac0@01,'来自淘宝人气：2176092,'614087776959,'6825508070513642248,,Sophie Rose《Pink Lipstick》https://c.y.qq.com/base/fcgi-bin/u?__=QBiaWwU @QQ音乐
'16,'豆豆_Babe,'6823654232197958923,'我要贴脸发言一次 这个清洁面膜真的好喜欢,'2020-05-06 17:04:03,'199156,'7553,'4219,'豆豆 韩国春雨茄子泥膜清洁面膜深层清洁保湿补水温和涂抹式泥膜,'14419,'99,'5144228,'53304917615,'http://v26-dy.ixigua.com/f18192ea6eceb0847c6ecbd4ae77e410/5f09c981/video/tos/cn/tos-cn-ve-15/d3db67b521874b5893775bfced06d4ff/?a=1128&br=3327&bt=1109&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=aml3M2l5cGs6dDMzNWkzM0ApZjQ4aWg5NTtlN2U6PDhkO2ctZi5fY14xaG1fLS1jLS9zc2AyMWEtNl4vLTQ0LzAwMS86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D79ISPlOTz6Bw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMSD02sjneCEnMMgx22UI05aMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uifdH2R7rQKAvCegh7POrcMapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305208@0b588f3e_19ac_172bcc94d3d_b198@01,','来自淘宝人气：179747,'613676596882,'6823654425274518279,,Bülow《Like This Guy》https://c.y.qq.com/base/fcgi-bin/u?__=jnfMWwQ @QQ音乐
'17,'豆豆_Babe,'6822910025653177612,'夏天快到了 猕猴桃猪猪们都脱毛了吗,'2020-05-04 16:56:18,'784141,'20592,'10301,'JOVS冰点女士家用,'1097,'1649,'5144228,'53304917615,'http://v26-dy.ixigua.com/df9cc2ce71712ace5a5fc5bbe4ab7555/5f09c9c4/video/tos/cn/tos-cn-ve-15/73ccdf1559cc497caba14f32c651301b/?a=1128&br=3246&bt=1082&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=M2c8aGdkNWZ3dDMzaWkzM0ApZGU3NWhoN2U1NzZmO2k8Z2dsXy81Z3AtYGtfLS00LS9zczA2Y2A0Ll8wNV80MC4tY2E6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D9GH7W%2Bsymntw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMUYTpdhPZnC4RitN3%2FurF3yMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMCFPEngBaemh8BSJOLxaexc0Q9fK1X0AuTeW960iLPj9mZoHhG7U7yoI5UGrs6z5ahYuFeSgaZjLpGtdLcLH81eLYlRfdX59FzculXw%2FGh8QsNft%2BBttGBkIJkc7bDPnoswu5fygjVMn4ngPnTkLi15zCPvtOsoqGcSpj5qSCmbA%3D&union_lens=lensId:TAPI@1588582581@0b84767d_0e8d_171dee685e1_e13f@01,'https://uland.taobao.com/ccoupon/edetail?e=rZPSsJG%2FgzoE%2BdAb1JoOOlNVJYiJxwVEd1D7F4FAvW%2B9h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrdiGlVXLfx%2BnrOugqOzy%2BV3F8WVlIJ68ANG8w%2FVRcqRKSn4qX%2Brddxias34aRsvQrdl4X1VWjKahIdYcd%2FHZNey2i12lJ%2FDpJw%3D%3D&traceId=0b0b239e15885825816966126e&union_lens=lensId:TAPI@1588582581@0b84767d_0e8d_171dee685e1_e13f@01,'来自淘宝人气：608905,'610562140185,'6822910265106385672,,増田俊郎 (ますだ としお)《ナルトの日常 (鸣人的日常)》https://c.y.qq.com/base/fcgi-bin/u?__=DC3MWwV @QQ音乐
'18,'豆豆_Babe,'6821435551686593795,'这期防晒好干货 油皮混油皮干皮的猪猪都可以看过来,'2020-04-30 17:34:13,'300770,'12663,'7646,'【达人热荐】优色林小橙伞控油清爽面部防晒乳50mlSPF50+防紫外线,'4964,'205,'5144228,'53304917615,'http://v26-dy.ixigua.com/f432233895662293e9f1f12616017d8f/5f09c990/video/tos/cn/tos-cn-ve-15/6660fe344fd54a11bc77290bf7552cf0/?a=1128&br=3111&bt=1037&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=M3lycnA0NHE6dDMzNWkzM0ApM2QzNGZkPDtmN2UzaWczZWdtNjJvc2U2cmlfLS1jLS9zczAtLzVhYGItYS81YGEyLzE6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Dz4caLdnORTtw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMQdI1r8BuN985x%2BIUlGKNpWMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMO3aTAbCwNEhkgoV%2BumI6H80Q9fK1X0AuhLjO8JFSuq5qGmoLahT%2BZz%2BFa8QW0pMbTc7jC1Dcr3Rcfm37xb4PJVg83PIIzC3pH3Yv4JZgcPocTNWtqRPezzPihM1enhJMVFzNXDvVTOYkiM0JmU9fSiw80rK60cUhUlAFN0hF0QfGDmntuH4VtA%3D%3D&union_lens=lensId:TAPI@1588239255@0b847668_0e8f_171ca6fc7e1_d4d4@01,'https://uland.taobao.com/ccoupon/edetail?e=BDRkAnGuPaUE%2BdAb1JoOOg4NTOIIYMigLG4WZj6ql269h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrS3%2FM4lAwO%2BXrOugqOzy%2BV3F8WVlIJ68AEy5otPERvyno4uTMKfHYjBooUWlYkmfDjAJPvlWxLK83d%2F9HmpOUm5I%2FNnGgWUbcg%3D%3D&traceId=0b01da7215882392554911379e&union_lens=lensId:TAPI@1588239255@0b847668_0e8f_171ca6fc7e1_d4d4@01,'来自淘宝人气：236360,'600581308088,'6821435678774315789,,分享FRANKIE的单曲《When I'm Ready》:?http://music.163.com/song/1317494052/?userid=1508029736?(来自@网易云音乐)
'19,'豆豆_Babe,'6821055607462808835,'油头猪猪的洗发水来啦！！干爽一整夏～嘻,'2020-04-29 16:59:46,'335441,'10870,'3966,豆豆 摇滚动物园1980氨基酸洗发水/护发素控油丰盈蓬松修护无硅油,'9206,'55,'5144228,'53304917615,'http://v26-dy.ixigua.com/3595dce05ca66ddab9fff279b13f89ea/5f09c991/video/tos/cn/tos-cn-ve-15/b9dc2bd542534684808ebff555e53cc2/?a=1128&br=3564&bt=1188&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=amY5OzhzNnVtdDMzNmkzM0ApOGdnOzk8ZTxnNzc3aGc1ZmdhY2BoMmBrbWhfLS0wLS9zc180M2JhM2AzX140NjE2NS06Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DiE%2Bgs6Pq5AZw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMQO40cN3Tjkpxq3IhSJN6GSMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ugBJ0Rc%2BqdqEZlQkYymFH%2BuapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305174@0b17556a_1aff_172bcc8c75d_b861@01,','来自淘宝人气：311420,'616638326306,'6821055716887972621,,SG Lewis/Clairo《Throwaway (SG Lewis x Clairo)》https://c.y.qq.com/base/fcgi-bin/u?__=q5iMWwA @QQ音乐
'20,'豆豆_Babe,'6820314297533467908,'出门会被人问的口红 找的我好辛苦啊,'2020-04-27 17:03:08,'644099,'33667,'12583,'豆豆physiciansformula PF小丸子口红同色双质感唇膏,'3547,'89,'5144228,'53304917615,'http://v26-dy.ixigua.com/989b551c4d1af5a0592d468dc3aa1320/5f09c9c1/video/tos/cn/tos-cn-ve-15/be6e7d787fdd4ef6a67bc24c953a4dfc/?a=1128&br=2985&bt=995&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=anltZm9nNWY8dDMzNmkzM0ApNzw8aTtmaDtoNzZkZDxmZWdeajRyYWRjcWdfLS0zLS9zc14zLTUuXjUyMC80XjZeLjI6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Dhm%2F3vTEpR%2FZw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMYAhrv8Mms6nlovu%2FCElQOuMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ujF1tmJ4bpFw0xOawl1WVdnapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305007@0b588f42_2ea5_172bcc63b75_7cf8@01,','来自淘宝人气：670526,'614810415074,'6820314458657737479,,renforshort《mind games》https://c.y.qq.com/base/fcgi-bin/u?__=qh47WwP @QQ音乐
'21,'豆豆_Babe,'6817723144367852803,猪猪们 真的要少吃零食 长豆实在太难受啦,'2020-04-20 17:28:22,'156761,'7581,'2682,'豆豆 柏翠丝一创镇稳水水膜收缩毛孔提亮修护柏翠丝面膜25g*6片,'3182,'99,'5144228,'53304917615,'http://v26-dy.ixigua.com/eb2142b4fdef7275d5fd4f2e75a992e3/5f09c9b5/video/tos/cn/tos-cn-ve-15/5763442fb98e4288884e200430112e44/?a=1128&br=3096&bt=1032&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=amVzbG43dG1wdDMzZWkzM0ApZGRpNmY6MzszNzU2Zjw4aWdecXJqcHAxZWJfLS0zLS9zczBiNl9fMTVfX2BiY2AwXi06Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DTcUBxnNmXTdw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMTRQ9ssfCVpM79%2FTFaMDK6SMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uj1NXlYRlyN5Hv3ASbp%2Fp9yapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305279@0b1b1f91_35e4_172bcca6091_9aa8@01,','来自淘宝人气：82423,'616003799402,'6817709705134181123,,葛八岁《あったかいんだからぁ (Acoustic)》https://c.y.qq.com/base/fcgi-bin/u?__=mqs7Wwv @QQ音乐
'22,'豆豆_Babe,'6815118417008266500,猪猪们 悄悄的来一波春季美腻的口红,'2020-04-13 17:00:26,'1174385,'56032,'41440,'完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V01,'309083,'59.9,'5144228,'53304917615,'http://v26-dy.ixigua.com/0a8c255b174633a602b429ad55b9aba3/5f09c9a5/video/tos/cn/tos-cn-ve-15/5d953fa314ee4f55ae8720811fd91643/?a=1128&br=3129&bt=1043&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=amRlZW9uczk0dDMzOGkzM0ApNTtpOzw6OGVkNzVlPDg1OGczbG5sYXAubl5fLS02LS9zc18uYWJeYjUtYTYyY14zNF46Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Drl3RoRe2A85w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMb%2BHMok8eLagt4hWD5k2kjOMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMA09qWerTJ4Tj5oPmeWWScwtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ujGli%2B56uAYBUEBTaUN1jGxapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1587191893@0b1733e3_0eb3_1718c024ee4_c271@01,'https://uland.taobao.com/ccoupon/edetail?e=aF5U0WrBEIkE%2BdAb1JoOOjnUBj2HFCEkZkyWLETSTUW9h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrdiGlVXLfx%2BnrOugqOzy%2BV3F8WVlIJ68ANG8w%2FVRcqRKSn4qX%2Brddxias34aRsvQrdl4X1VWjKahljGx4D5wd7P2im4Cutz4pg%3D%3D&traceId=0b155af415871918936703095e&union_lens=lensId:TAPI@1587191893@0b1733e3_0eb3_1718c024ee4_c271@01,'来自淘宝人气：2439211,'614808935022,'6815113276960574222,,Elsa Kopf《Candy street》https://c.y.qq.com/base/fcgi-bin/u?__=FNz7WwW @QQ音乐
'23,'豆豆_Babe,'6813633818319244548,真的是我最爱的味道了 太好闻啦,'2020-04-09 16:59:26,'509467,'14920,'9142,'豆豆 roopy香水沐浴露持久留香清爽型沐浴液250ml,'13055,'55,'5144228,'53304917615,'http://v27-dy.ixigua.com/663e019fe2acef8beeac7921e683121d/5f09c9b2/video/tos/cn/tos-cn-ve-15/d905d9c588be4001a98d8da8e08019b5/?a=1128&br=3042&bt=1014&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113440100080720121234E924&lr=all&mime_type=video_mp4&qs=0&rc=M3ByOGkzOmZodDMzaGkzM0ApODM0PDczNjs6NztoOjo0Z2djL2Zfb3JmMjRfLS01LS9zc2MxX2BiXzUuXjU1Ll4yXjI6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Dhcri3YMWXqxw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMUb%2BPGxqoABvlovu%2FCElQOuMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ug4MTJDK79lUveLYcMfI%2FCXapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305137@0b1af7c8_544b_172bcc83793_98d0@01,','来自淘宝人气：564070,'613421580270,'6813618039792438024,,Jazzystics《Walking On Sunshine》https://c.y.qq.com/base/fcgi-bin/u?__=35mHWwZ @QQ音乐
'24,'豆豆_Babe,'6807336733387017485,'猪猪们 涂抹式面膜 这可是我攒了很久的 快拿去吧,'2020-03-23 17:43:33,'303563,'8705,'9239,'豆豆 EviDenS伊菲丹超级面膜涂抹清洁收缩毛孔修护面膜10ml,'1402,'168,'5144228,'53304917615,'http://v27-dy.ixigua.com/9c1c633996011e394e736b5c0438f4c2/5f09c9da/video/tos/hxsy/tos-hxsy-ve-0015/06273901b75c466a983fd4d32a1c97fd/?a=1128&br=2838&bt=946&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113440100080720121234E924&lr=all&mime_type=video_mp4&qs=0&rc=MzlpNjY7dXI7czMzO2kzM0ApaGU4ZWg8Zzs8N2Y8Ojk2PGdpbXFeai1wL3BfLS1iLS9zczU1YS5jYDZfL2MzMi5hLV86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D5AOjuFuO%2Bxxw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMbM95nqWWNExxq3IhSJN6GSMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm09LTl6LxCJKiZf2bjOYiOx%2Fm87mUgZcRMapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1584956614@0b14fe5b_0ea6_17106c6a89c_8cd7@01,','来自淘宝人气：169354,'605255274758,'6807299663167998734,,分享Julie London的单曲《Never On Sunday (Remastered)》:?http://music.163.com/song/2776347/?userid=1508029736?(来自@网易云音乐)
