,Unnamed: 0,video_like,video_forward,video_comment,goods_name,goods_whole_sale,bgm,language,genre,public_time,emotion,filename
450,450,313,6,25,艾比新 新款高腰阔腿牛仔裤（S-XL）,1.3万,旧梦一场 (DJ余小磊版) - 未知,国语,,2020-01-10,happy,旧梦一场(改编DJ) (改编版原唱_ 阿悠悠)
451,451,162,0,4,艾比新 新款高腰阔腿牛仔裤（S-XL）,1.3万,你是我永远的痛 (DJ何鹏版) - 陈瑞、崔伟立、何鹏,国语,Pop,2018-05-30,happy,你是我永远的痛 (DJ何鹏版)
452,452,979,20,105,艾比新 新款高腰阔腿牛仔裤（S-XL）,1.3万,你是我永远的痛 (DJ何鹏版) - 陈瑞、崔伟立、何鹏,国语,Pop,2018-05-30,happy,你是我永远的痛 (DJ何鹏版)
453,453,902,208,34,松纹堂砂锅炖锅家用燃气煲汤沙锅陶瓷汤煲明火耐高温瓦罐砂锅石锅,4.6万,温柔嗓音 (女声翻唱) - P.W.W.画风风,国语,Pop,2020-07-16,peaceful,温柔嗓音女声翻唱
454,454,3,0,0,NOTO面部护理套装【任选5件】R-3,"4,731",我和你 - 皮卡丘多多,国语,Pop,2020-05-01,happy,我和你
455,455,173w,10.8w,5w,涛声三明治机早餐机家用小型轻食华夫饼面包多功能神器吐司压烤机,2.6万,布谷鸟 - 安子与九妹,,,,happy,布谷鸟 (cover：安子与九妹)
456,456,1.3w,816,315,涛声三明治机早餐机家用小型轻食华夫饼面包多功能神器吐司压烤机,2.6万,布谷鸟 - 安子与九妹,,,,happy,布谷鸟 (cover：安子与九妹)
457,457,"8,120",708,127,涛声三明治机早餐机家用小型轻食华夫饼面包多功能神器吐司压烤机,2.6万,Yellow - 电鸟个灯泡,日语,Pop,2019-10-14,peaceful,Yellow (Yellow) (原唱_有機酸)
458,458,"3,524",54,138,涛声三明治机早餐机家用小型轻食华夫饼面包多功能神器吐司压烤机,2.6万,"1,2,3,4 (원,투,쓰리,포) - LEE HI",韩语,Pop,2012-12-21,happy,"1, 2, 3, 4 (원,투,쓰리,포)"
459,459,"7,041",214,69,涛声三明治机早餐机家用小型轻食华夫饼面包多功能神器吐司压烤机,2.6万,Say So (Explicit) - Sassydee,,,,happy,Say So (Explicit)
460,460,"5,171",23,160,涛声三明治机早餐机家用小型轻食华夫饼面包多功能神器吐司压烤机,2.6万,单恋一枝花 (女声版片段) - 丫蛋蛋(马启涵)、九幺,,,,happy,Aku Suka Body Mama Muda (抖音热搜版)
461,461,1.5w,"1,844",503,【小范推荐】日照发货带黄扇贝肉5包/10包250g/包赠粉丝1包180g,"5,024",Bagaikan Langit Di Sore Hari - DJ TikTok,印尼语,Dance,2020-01-29,happy,Bagaikan Langit Di Sore Hari
462,462,5.9w,747,1620,红地球草本粉底液,,这可是大人的音乐哦,其他,Pop,2018-04-12,mad,这可是大人的音乐哦 (DJ版)
463,463,3.5w,92,598,红地球草本粉底液,,Slapstick,纯音乐,Pop,2006-01-27,mad,Slapstick (Slapstick)
464,464,7.2w,1107,6379,红地球草本粉底液,,Lilly Wood & The Prick-RUA（Krystal remix）,,,,happy,"Prayer in C(Originally Performed By Lilly Wood & The Prick And Robin Schulz, Instrumental Version)"
465,465,4.9w,182,929,红地球草本粉底液,,It G Ma (Spazzkid Bootleg),,,,happy,It G Ma (Spazzkid Bootleg)
466,466,171.3w,6.8w,4.5w,红地球草本粉底液,,猪突猛進 (勇往直前),纯音乐,Soundtrack,2015-04-01,happy,猪突猛進 (勇往直前)
