Column1,title,duration,sale,date,bgm
0,【创谷】可循环使用便携折叠伸缩小圆盘购物袋多功能收纳袋旋转盘,13,6,2020/7/3 12:43,
1,直流抽油 抽水泵75包邮,115,3,2020/7/3 12:44,
2,三色短袖腰带西服裙（体重125斤以内拍S，偏大）,74,32,2020/7/3 12:47,
3,褶皱真丝长裙,19,43,2020/7/3 12:48,
4,蜀中桃子姐家火锅底料500克装牛油火锅麻辣味,259,16000,2020/7/3 12:52,
5,遇佳人180X90防晒丝巾2,32,2089,2020/7/3 12:53,不是所有人都会值得等 - 一只舟
6,T-2028 日系潮牌卡通t恤男新款休闲短袖宽松学生个性情侣装上衣,62,2,2020/7/3 12:53,
7,爱唯依 Elsissi2020夏季新款日系棉麻拼接蕾丝中袖衬衫衬衣 705,7,210,2020/7/3 12:54,??  - 未知
8,JG军哥吸湿防滑耐磨精灵球4 5 6号女标准训练7号户外室内儿童篮球,44,1232,2020/7/3 12:54,
9,妙招姐 100W高品质热熔胶枪+乳白色特粘胶棒 包邮,169,6870,2020/7/3 13:01,追梦人 - 纯音乐
10,拉雅时代祛螨净螨皂除螨净痘深层清洁洗脸全身面部香皂去螨虫男女,116,1587,2020/7/3 13:01,
11,【古阿新】原创刺绣中国爱国国潮套头夏季上新款情侣亲子复古衣,6,764,2020/7/3 13:02,
12,手工麻绳纳底布鞋,15,1870,2020/7/3 13:02,18 Mne Uzhe (重置版) - ai8
13,629款裤子（5天发货）,7,3950,2020/7/3 13:03,赤伶 - 等什么君
14,【卡妈推荐】柳州螺蛳粉原产地广西正宗螺丝粉300g*5包装,33,3671,2020/7/3 13:03,
15,车后视镜防雨膜防水防止雾气凝结驱水膜保证行车安全,30,889,2020/7/3 13:04,Jhak maar ke - 虞姬、圈妹
16,下水槽厨房置物架可抽拉式落地多层收纳储物架卫生间用品家用大全,27,418,2020/7/3 13:04,墨尔本的翡翠 (Live片段) - 车厘子的车车
17,咪偲图品牌女装2020夏季新品清新（裙长92）短款SYXR-48款,12,43,2020/7/3 13:05,DDU-DU DDU-DU (Japanese Ver.) - BLACKPINK
18,2020夏季新款大码女装文艺复古芝麻数码花V领手工盘扣裙衫9243,15,41,2020/7/3 13:05,成都 - 李雨婷
19,懒猪毛绒玩具抱枕,8,299,2020/7/3 13:06,超级喜欢你 - 金南玲、李俊佑
20,纯手工剁辣椒 湖南特产剁椒酱农家自制手工辣椒酱下饭菜老坛剁椒,46,16,2020/7/3 13:06,
21,懒猪毛绒玩具抱枕,8,299,2020/7/3 13:06,
22,纯手工剁辣椒 湖南特产剁椒酱农家自制手工辣椒酱下饭菜老坛剁椒,46,16,2020/7/3 13:07,卡农 (浪潮版) - 未知
23,【博集官方直营】罪全书（套装全7册） 蜘蛛著 ,37,53,2020/7/3 13:07,Hello Zepp - Charlie Clouser
24,VOA100支羊毛印花围巾PH8,8,75,2020/7/3 13:08,遇见 - 孙燕姿
25,小鱼鱼新款2020夏季女装衬衫时尚洋气后系带雪纺上衣圆领短袖T恤,8,60,2020/7/3 13:08,野狼disco - 很美味
26,铜耳环F091,27,206,2020/7/3 13:09,哦哈哟欧尼酱 - 赵梓婷
27,祥祯福 石榴石圆珠多圈手串女士手链多规格包邮,23,1650,2020/7/3 13:10,Peters Rettungsschirm-Auftrag - Gernot Kulis
28,0183纺车轮海竿轮渔轮金属不锈钢鱼线轮,37,3870,2020/7/3 13:11,
29,新疆手工切糕500克,9,219,2020/7/3 13:11,
30,我是卡卡1995新款露背长裙,5,30,2020/7/3 13:12,Pop It In 2 - MADE IN HEIGHTS
31,佰姿舞脚蹬拉力器仰卧起坐辅助器材家用健身瘦肚瑜伽女运动弹力绳,13,5790,2020/7/3 13:12,
32,厘昉--小孩子邹菊速干衣套装【3至13岁】,11,1943,2020/7/3 13:13,
33,xfh三角哈衣爬爬服网红夏装,10,5040,2020/7/3 13:14,
34,xfh三角哈衣爬爬服网红夏装,10,5040,2020/7/3 13:15,阳光彩虹小白马 - 大张伟
35,五季家大码胖mm连衣裙夏季新款洋气收腰泡泡袖修身改良旗袍裙女,14,281,2020/7/3 13:15,我的天空 - 刘至佳
