,Unnamed: 0,Unnamed: 0.1,bgm,bpm,genre,language,public_time,mood,emotion,match,like_time,unlike_time,attitude
57,57,57,半吨兄弟 - 我好喜欢你,129.19921875,Pop,国语,2020-03-19,,happy,1,0,0,
58,58,58,半吨兄弟 - 我这一生,80.74951171875,pop,国语,2020-03-10,,happy,1,0,0,
59,59,59,半阳 - 一曲相思,103.359375,Pop,国语,2018-09-21,,happy,1,0,0,
60,60,60,单夕、阳逸晨 - 小可爱,89.10290948275862,Pop,国语,2016-06-09,,happy,1,0,0,
61,61,61,单色凌 - 我想我不够好,117.45383522727272,Pop,国语,2013-01-01,,happy,1,0,0,
62,62,62,叶倩文 - 选择,75.99954044117645,Pop,国语,1992-03-15,,happy,1,0,0,
63,63,63,叶蓓 - 想把我唱给你听,103.359375,Pop,国语,2019-01-31,,happy,1,0,0,
64,64,64,名决 - 时间的过客 (抖音烟嗓版),161.4990234375,blues,国语,2020-02-23,,happy,1,0,0,
65,65,65,后弦 - 娃娃脸,99.38401442307692,Pop,国语,2010-02-24,,happy,1,0,0,
66,66,66,周杰伦 - 不能说的秘密,143.5546875,Pop,国语,2007-08-13,,happy,1,0,0,
67,67,67,周杰伦 - 告白气球,89.10290948275862,R&B,国语,2016-06-24,,happy,1,0,0,
68,68,68,周杰伦 - 夜曲,86.1328125,Rap/HipHop,国语,2005-11-01,,happy,1,0,0,
69,69,69,周杰伦 - 晴天,135.99917763157896,Pop,国语,2003-07-31,,happy,1,0,0,
70,70,70,周杰伦 - 甜甜的,117.45383522727272,Pop,国语,2007-11-02,,happy,1,0,0,
71,71,71,周杰伦 - 简单爱,95.703125,R&B,国语,2001-09-20,,happy,1,0,0,
72,72,72,周杰伦 - 给我一首歌的时间,117.45383522727272,R&B,国语,2008-10-15,,happy,1,0,0,
73,73,73,周杰伦、杨瑞代 - 爱的飞行日记,112.34714673913044,Pop,国语,2010-05-18,,happy,1,0,0,
74,74,74,周杰伦、袁咏琳 - 傻笑,99.38401442307692,Pop,国语,2012-12-28,,happy,1,0,0,
75,75,75,周杰伦、袁咏琳 - 怎么了,151.9990808823529,Pop,国语,2014-12-26,,happy,1,0,0,
76,76,76,周笔畅 - 最美的期待,99.38401442307692,Pop,国语,2018-02-09,,happy,1,0,0,
77,77,77,图小图 - 失忆,66.25600961538461,Pop,国语,2017-11-01,,happy,1,0,0,
78,78,78,大壮 - 为你我受冷风吹,117.45383522727272,Pop,国语,2016-11-06,,happy,1,0,0,
79,79,79,大能人 - 山楂树の恋,161.4990234375,Rap/HipHop,国语,2016-12-13,,happy,1,0,0,
80,80,80,大能人 - 想要问问你敢不敢ReMix,92.28515625,rock,纯音乐,2019-10-16,,happy,1,0,0,
81,81,81,大能人 - 新鲜感,172.265625,Rap/HipHop,国语,2014-12-13,,happy,1,0,0,
82,82,82,太一 - (笑),117.45383522727272,Pop,国语,2017-12-28,,happy,1,0,0,
83,83,83,太一 - Lutra,99.38401442307692,Pop,国语,2017-11-30,,happy,1,0,0,
84,84,84,太一 - 像暗杀似的绕到背后突然拥抱你,143.5546875,Pop,国语,2017-11-23,,happy,1,0,0,
85,85,85,孙燕姿 - 第一天,89.10290948275862,Pop,国语,2005-10-07,,happy,1,0,0,
86,86,86,孙燕姿 - 绿光,107.666015625,Pop,国语,2001-07-12,,happy,1,0,0,
87,87,87,孙燕姿 - 遇见,92.28515625,Pop,国语,2003-08-22,,happy,1,0,0,
88,88,88,孙语赛、萧全 - 不仅仅是喜欢,112.34714673913044,Pop,国语,2018-03-06,,happy,1,0,0,
89,89,89,宋孟君、威仔 - 9277 (原版),123.046875,hiphop,,,,happy,1,0,0,
90,90,90,宝石Gem - 野狼disco (Live),99.38401442307692,Rap/HipHop,国语,2019-08-16,,happy,1,0,0,
91,91,91,封茗囧菌 - 爱的魔法,95.703125,country,国语,2016-06-07,,happy,1,0,0,
92,92,92,小峰峰(陈峰)、小潘潘（潘柚彤） - 学猫叫,117.45383522727272,Pop,国语,2018-04-20,,happy,1,0,0,
93,93,93,小潘潘（潘柚彤） _ 小峰峰（陈峰） - 学猫叫,117.45383522727272,Pop,国语,2018-04-20,,happy,1,0,0,
94,94,94,小潘潘（潘柚彤） _ 李俊佑 - 宠坏,143.5546875,rock,国语,2019-03-15,,happy,1,0,0,
95,95,95,小野eyoaix、一口甜 - 娃娃脸,99.38401442307692,Pop,国语,2019-05-15,,happy,1,0,0,
96,96,96,小阿枫 - 女儿情 (正式版),73.828125,Pop,国语,2019-09-05,,happy,1,0,0,
97,97,97,小阿枫 - 我要找到你,112.34714673913044,blues,国语,2019-11-07,,happy,1,0,0,
98,98,98,小阿枫 - 爱江山更爱美人,151.9990808823529,Pop,国语,2019-08-26,,happy,1,0,0,
99,99,99,展展与罗罗 - 沙漠骆驼,112.34714673913044,Pop,国语,2017-06-19,,happy,1,0,0,
100,100,100,崔文美秀 _ 陈卓璇 _ 胡玛尔 _ 王曦瑶 _ 胡嘉欣 _ 史芮伊 _ 朱主爱 - 除了春天、爱情和樱花 (纯享版),161.4990234375,country,,,,happy,1,0,0,
101,101,101,庄心妍 - 再见只是陌生人,161.4990234375,Pop,国语,2015-11-05,,happy,1,0,0,
102,102,102,庾澄庆 - 情非得已,107.666015625,Pop,国语,2009-12-18,,happy,1,0,0,
103,103,103,异乡人(刘行宽)、9M88 - SWAG午觉,95.703125,Pop,国语,2018-03-29,,happy,1,0,0,
104,104,104,张宇 - 给你们,103.359375,Pop,国语,1999-09-01,,happy,1,0,0,
105,105,105,张惠妹 - Bad Boy,99.38401442307692,Pop,国语,1997-06-11,,happy,1,0,0,
106,106,106,张惠妹 - 一想到你呀,112.34714673913044,Pop,国语,1997-06-11,,happy,1,0,0,
107,107,107,张惠妹 - 好胆你就来,117.45383522727272,Pop,闽南语,2009-08-19,,happy,1,0,0,
108,108,108,张惠妹 - 爱 什么稀罕,107.666015625,Pop,国语,1999-06-07,,happy,1,0,0,
109,109,109,张惠妹 - 薇多莉亚的秘密,112.34714673913044,Pop,国语,2007-08-03,,happy,1,0,0,
110,110,110,张惠妹 - 薇多莉亚的秘密~1,112.34714673913044,Pop,国语,2007-08-03,,happy,1,0,0,
111,111,111,张碧晨 - 不要忘记我爱你,129.19921875,Pop,国语,2015-08-25,,happy,1,0,0,
112,112,112,张碧晨 - 当爱来敲门,143.5546875,Soundtrack,国语,2016-11-30,,happy,1,0,0,
113,113,113,张肯肯 - 别怕我伤心,67.99958881578948,Pop,国语,2020-02-21,,happy,1,0,0,
114,114,114,张茜 - 有没有那么一首歌,143.5546875,Pop,国语,2020-03-17,,happy,1,0,0,
115,115,115,张靓颖 - 终于等到你,129.19921875,Pop,国语,2014-07-21,,happy,1,0,0,
116,116,116,张馨文 _ 冯琬贺 _ 周雨霖 _ 田京凡 _ 康汐 _ 吴妙茵 - 甜蜜蜜 (纯享版),95.703125,Pop,国语,2020-05-16,,happy,1,0,0,
117,117,117,彭十六 - 戏影,143.5546875,Pop,国语,2019-05-13,,happy,1,0,0,
118,118,118,彭羚 - 囚鸟,103.359375,Pop,国语,1996-03-16,,happy,1,0,0,
119,119,119,很美味 - 东西 (片段),83.35433467741936,blues,其他,2019-02-20,,happy,1,0,0,
120,120,120,徐佳莹 - 身骑白马,129.19921875,Pop,国语,2009-05-29,,happy,1,0,0,
121,121,121,徐秉龙、桃十五 - 青柠,107.666015625,Pop,国语,2017-08-25,,happy,1,0,0,
122,122,122,徐良 _ 小凌 - 客官不可以,95.703125,Pop,国语,2011-12-26,,happy,1,0,0,
123,123,123,掌嘴、张雪飞、Lil-7 - 只想对你说,80.74951171875,Pop,国语,2017-07-05,,happy,1,0,0,
124,124,124,新乐尘符 - 123我爱你,89.10290948275862,Pop,国语,2017-12-25,,happy,1,0,0,
125,125,125,新乐尘符 - 123我爱你~1,89.10290948275862,hiphop,国语,2019-06-11,,happy,1,0,0,
126,126,126,方大同 - 春风吹,135.99917763157896,Pop,国语,2005-11-16,,happy,1,0,0,
127,127,127,朱主爱 - 莫名其妙爱上你,135.99917763157896,Pop,国语,2017-11-01,,happy,1,0,0,
128,128,128,朴树 - 白桦林,117.45383522727272,Rock,国语,1999-01-01,,happy,1,0,0,
129,129,129,李代沫 - 这就是爱情,129.19921875,Pop,国语,2017-11-01,,happy,1,0,0,
130,130,130,李佳思 - The Star,89.10290948275862,Pop,国语,2017-06-29,,happy,1,0,0,
131,131,131,李佳思 - 小爱,112.34714673913044,Pop,国语,2016-08-04,,happy,1,0,0,
132,132,132,李俊佑、小潘潘（潘柚彤） - 宠坏,143.5546875,hiphop,国语,2019-03-15,,happy,1,0,0,
133,133,133,李健 - 贝加尔湖畔,117.45383522727272,Folk,国语,2011-12-10,,happy,1,0,0,
134,134,134,李健 _ 孙俪 - 风吹麦浪 (Live),135.99917763157896,Pop,国语,2013-02-09,,happy,1,0,0,
135,135,135,李学仕 - 直觉,135.99917763157896,Pop,国语,2018-12-25,,happy,1,0,0,
136,136,136,李宇春 - 下个，路口，见,99.38401442307692,Pop,国语,2009-12-22,,happy,1,0,0,
137,137,137,李宏毅、李明霖 - 恶魔的爱,112.34714673913044,Soundtrack,国语,2017-03-01,,happy,1,0,0,
138,138,138,李少白 - 山楂树之恋,161.4990234375,Pop,国语,2017-11-09,,happy,1,0,0,
139,139,139,李昇基 - 정신이 나갔었나봐 (我想我是疯了),123.046875,Soundtrack,韩语,2010-08-04,,happy,1,0,0,
140,140,140,李明霖、李宏毅 - Love U,99.38401442307692,Pop,国语,2014-09-19,,happy,1,0,0,
141,141,141,李昕融 _ 樊桐舟 _ 李凯稠 - 你笑起来真好看,83.35433467741936,blues,国语,2019-04-24,,happy,1,0,0,
142,142,142,李朝 _ 王圣锋 - 情话微甜,103.359375,Pop,国语,2017-09-28,,happy,1,0,0,
143,143,143,李朝、王圣锋 - 情话微甜,103.359375,Pop,国语,2017-09-28,,happy,1,0,0,
144,144,144,李治廷 - 不可思议,95.703125,Pop,国语,2015-12-01,,happy,1,0,0,
145,145,145,李浩然 - 一千零一次我爱你,135.99917763157896,Pop,国语,2020-04-15,,happy,1,0,0,
146,146,146,李玖哲 - 夏天,95.703125,Pop,国语,2010-09-17,,happy,1,0,0,
147,147,147,李翊君 - 七情六欲,135.99917763157896,Pop,国语,1998-10-03,,happy,1,0,0,
148,148,148,李翊君 - 雨蝶,64.599609375,Pop,国语,1998-01-01,,happy,1,0,0,
149,149,149,杨千嬅 - 处处吻,117.45383522727272,Pop,粤语,2004-12-01,,happy,1,0,0,
150,150,150,杨千嬅 - 少女的祈祷,123.046875,Pop,粤语,2000-09-08,,happy,1,0,0,
151,151,151,杨千嬅 - 野孩子,117.45383522727272,Pop,粤语,2001-09-22,,happy,1,0,0,
152,152,152,杨坤 _ 郭采洁 - 答案,151.9990808823529,Pop,国语,2014-01-30,,happy,1,0,0,
153,153,153,杨坤、郭采洁 - 答案,151.9990808823529,Pop,国语,2014-01-30,,happy,1,0,0,
154,154,154,杨小壮 - 她是个二十几岁的姑娘,123.046875,Pop,国语,2020-04-20,,happy,1,0,0,
155,155,155,杨小壮 _ 鹏鹏 - 口是心非,112.34714673913044,Pop,国语,2020-03-02,,happy,1,0,0,
156,156,156,杨胖雨 - 这就是爱吗,151.9990808823529,blues,国语,2020-01-15,,happy,1,0,0,
157,157,157,林俊杰 - 不潮不用花钱,112.34714673913044,Dance,国语,2008-10-18,,happy,1,0,0,
158,158,158,林俊杰 - 小酒窝,95.703125,Pop,国语,2008-10-18,,happy,1,0,0,
159,159,159,林俊杰 - 江南,117.45383522727272,Pop,国语,2004-06-04,,happy,1,0,0,
160,160,160,林君怡 _ 姜贞羽 _ 敖心仪 _ 苏芮琪 _ 曾雪瑶 _ 舒一灵 _ 希林娜依·高 - 潇洒小姐 (纯享版),135.99917763157896,hiphop,,,,happy,1,0,0,
161,161,161,梁静茹 - 暖暖,103.359375,Pop,国语,2006-10-06,,happy,1,0,0,
162,162,162,梁静茹 - 没有如果,151.9990808823529,Pop,国语,2009-01-16,,happy,1,0,0,
163,163,163,梁静茹 _ 严爵 - 没有如果,151.9990808823529,Pop,国语,2009-01-16,,happy,1,0,0,
164,164,164,毛不易 - 借 (Live),151.9990808823529,Pop,国语,2017-08-26,,happy,1,0,0,
165,165,165,毛小国 - 微笑吧 (抖音女生版),129.19921875,Dance,国语,2020-05-18,,happy,1,0,0,
166,166,166,永彬Ryan.B - 放个大招给你看,103.359375,Pop,国语,2019-06-26,,happy,1,0,0,
167,167,167,汪苏泷 - 万有引力,95.703125,Pop,国语,2012-07-16,,happy,1,0,0,
168,168,168,汪苏泷 _ 徐良 - 后会无期,83.35433467741936,Pop,国语,2011-12-26,,happy,1,0,0,
169,169,169,汪苏泷、By2 - 有点甜,103.359375,Pop,国语,2012-07-16,,happy,1,0,0,
170,170,170,汪苏泷、Hari - 吵架歌,117.45383522727272,Pop,国语,2014-06-25,,happy,1,0,0,
171,171,171,沈虫虫、丫蛋蛋(马启涵) - 2018小恋曲,135.99917763157896,hiphop,国语,2018-10-10,,happy,1,0,0,
172,172,172,沈虫虫、吕口口 - 2018抖音神曲串烧,89.10290948275862,Pop,国语,2018-05-31,,happy,1,0,0,
173,173,173,沈虫虫、钟逸伦Dylan - 十六首歌的时间,129.19921875,Pop,国语,2018-04-04,,happy,1,0,0,
174,174,174,泪鑫 - 没茅台 (咚鼓版),129.19921875,Dance,英语,2018-07-30,,happy,1,0,0,
175,175,175,浙音4811(一个大金意) - 拜拜,89.10290948275862,hiphop,国语,2019-06-21,,happy,1,0,0,
176,176,176,海伦 - 桥边姑娘,78.30255681818181,hiphop,国语,2019-11-09,,happy,1,0,0,
177,177,177,深七 - 9277,123.046875,Pop,国语,2018-05-08,,happy,1,0,0,
178,178,178,潘玮柏 _ 张韶涵 - 快乐崇拜(1),123.046875,hiphop,国语,2016-08-24,,happy,1,0,0,
179,179,179,潘玮柏 _ 张韶涵 - 快乐崇拜,123.046875,Pop,国语,2004-12-01,,happy,1,0,0,
180,180,180,潘玮柏 _ 弦子 - 不得不爱,80.74951171875,Pop,国语,2005-07-08,,happy,1,0,0,
181,181,181,爱吃巧乐兹 - 圈住你,86.1328125,rock,国语,2019-09-11,,happy,1,0,0,
182,182,182,王力宏 - 改变自己,103.359375,Pop,国语,2007-07-13,,happy,1,0,0,
183,183,183,王力宏 - 春雨里洗过的太阳,99.38401442307692,Pop,国语,2008-12-26,,happy,1,0,0,
184,184,184,王力宏 - 爱的就是你 (浪漫版),95.703125,Pop,国语,2003-05-09,,happy,1,0,0,
185,185,185,王天放、DP龙猪 - 摇响你的Jingle Bells (Feat. Dragon Pig),95.703125,Pop,国语,2017-12-20,,happy,1,0,0,
186,186,186,王心凌 - 当你,135.99917763157896,Pop,国语,2003-02-24,,happy,1,0,0,
187,187,187,王心凌 - 睫毛弯弯(1),89.10290948275862,hiphop,,,,happy,1,0,0,
188,188,188,王心凌 - 睫毛弯弯,89.10290948275862,Pop,国语,2005-12-27,,happy,1,0,0,
189,189,189,王恰恰 - 晚风,129.19921875,rock,国语,2020-03-06,,happy,1,0,0,
190,190,190,王浪、范晓阳 - 心愿便利贴,95.703125,Pop,国语,2017-12-07,,happy,1,0,0,
191,191,191,王若琳 - 有你的快乐,112.34714673913044,Pop,国语,2008-01-11,,happy,1,0,0,
192,192,192,白小白 - 最美情侣,112.34714673913044,Pop,国语,2017-04-04,,happy,1,0,0,
193,193,193,白小白、球球 - 宠爱吖,161.4990234375,Pop,国语,2018-01-04,,happy,1,0,0,
194,194,194,皮卡丘多多 - 我和你,123.046875,Pop,国语,2020-05-01,,happy,1,0,0,
195,195,195,皮卡丘多多 - 我的果汁分你一半,99.38401442307692,Pop,国语,2020-04-13,,happy,1,0,0,
196,196,196,程jiajia - 山楂树の恋,78.30255681818181,Pop,国语,2019-08-08,,happy,1,0,0,
197,197,197,程jiajia - 我爱你 (Live片段),95.703125,hiphop,国语,2020-02-18,,happy,1,0,0,
198,198,198,程jiajia - 我爱你,95.703125,rock,国语,2020-02-18,,happy,1,0,0,
199,199,199,罗百吉 _ 宝贝 - I Miss You,89.10290948275862,Pop,国语,2007-12-28,,happy,1,0,0,
200,200,200,群星 - 让我为你唱一首歌,143.5546875,rock,,,,happy,1,0,0,
201,201,201,老狼 _ 任素汐 - 我要你,129.19921875,Soundtrack,国语,2016-10-21,,happy,1,0,0,
202,202,202,胖虎 - 拜拜,89.10290948275862,Pop,国语,2019-08-07,,happy,1,0,0,
203,203,203,胡66 - 浪人琵琶,143.5546875,Pop,国语,2018-05-28,,happy,1,0,0,
204,204,204,胡66 - 空空如也,151.9990808823529,Pop,国语,2017-12-14,,happy,1,0,0,
205,205,205,至上励合 - 棉花糖,99.38401442307692,hiphop,,,,happy,1,0,0,
206,206,206,艾热、JelloRio李佳隆 - 星球坠落 (Live),117.45383522727272,Rap/HipHop,国语,2018-07-28,,happy,1,0,0,
