,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
54,刘惜君 - 芬芳一生,67.99958881578948,Pop,国语,2017-09-09,positive,happy,0,0,0
55,前男友 - 童话里有什么,129.19921875,Rap/HipHop,国语,2018-05-03,positive,happy,0,0,0
56,半吨兄弟 - 一生回味一面,95.703125,Pop,国语,2020-03-30,positive,happy,0,0,0
57,半吨兄弟 - 我好喜欢你,129.19921875,Pop,国语,2020-03-19,positive,happy,0,0,0
58,半吨兄弟 - 我这一生,80.74951171875,pop,国语,2020-03-10,positive,happy,0,0,0
59,半阳 - 一曲相思,103.359375,Pop,国语,2018-09-21,negative,happy,0,0,0
60,单夕、阳逸晨 - 小可爱,89.10290948275862,Pop,国语,2016-06-09,positive,happy,0,0,0
61,单色凌 - 我想我不够好,117.45383522727272,Pop,国语,2013-01-01,negative,happy,0,0,0
62,叶倩文 - 选择,75.99954044117645,Pop,国语,1992-03-15,negative,happy,0,0,0
63,叶蓓 - 想把我唱给你听,103.359375,Pop,国语,2019-01-31,positive,happy,0,0,0
64,名决 - 时间的过客 (抖音烟嗓版),161.4990234375,blues,国语,2020-02-23,positive,happy,0,0,0
65,后弦 - 娃娃脸,99.38401442307692,Pop,国语,2010-02-24,negative,happy,0,0,0
66,周杰伦 - 不能说的秘密,143.5546875,Pop,国语,2007-08-13,positive,happy,0,0,0
67,周杰伦 - 告白气球,89.10290948275862,R&B,国语,2016-06-24,positive,happy,0,0,0
68,周杰伦 - 夜曲,86.1328125,Rap/HipHop,国语,2005-11-01,positive,happy,0,0,0
69,周杰伦 - 晴天,135.99917763157896,Pop,国语,2003-07-31,positive,happy,0,0,0
70,周杰伦 - 甜甜的,117.45383522727272,Pop,国语,2007-11-02,negative,happy,0,0,0
71,周杰伦 - 简单爱,95.703125,R&B,国语,2001-09-20,positive,happy,0,0,0
72,周杰伦 - 给我一首歌的时间,117.45383522727272,R&B,国语,2008-10-15,positive,happy,0,0,0
73,周杰伦、杨瑞代 - 爱的飞行日记,112.34714673913044,Pop,国语,2010-05-18,negative,happy,0,0,0
74,周杰伦、袁咏琳 - 傻笑,99.38401442307692,Pop,国语,2012-12-28,positive,happy,0,0,0
75,周杰伦、袁咏琳 - 怎么了,151.9990808823529,Pop,国语,2014-12-26,positive,happy,0,0,0
