序号,昵称,视频标题,点赞,评论,分享,商品标题,音乐链接,粉丝量
35,李濠pe7er,今夏超扛造的粉底液，上刀山下火海，也能越热越美丽#持妆不假面@LANCOME,1869,37,9,兰蔻持妆粉底液,Mr. Lb.《Heaven's Postcard (Rev. 21:1-5) [feat. Eboni Franklin]》https://c.y.qq.com/base/fcgi-bin/u?__=gtkUQw7 @QQ音乐,41.7w
36,兰蔻LANCOME,@江疏影同款兰蔻持妆粉底液，透气自然不粘腻，全天舒适，底妆大口呼吸#持妆不假面,8792,317,162,兰蔻持妆粉底液,CG5《Absolutely Anything》https://c.y.qq.com/base/fcgi-bin/u?__=CII9QwA @QQ音乐,83.9w
37,签儿穿搭,#持妆不假面 @兰蔻LANCOME夏日工作本命粉底液 兰蔻这款真香,3.3w,39,15,兰蔻持妆粉底液,Little Mix/Charlie Puth《Oops》https://c.y.qq.com/base/fcgi-bin/u?__=ysb2Qwn @QQ音乐,1083
38,彭西西,夏天粉底液就用兰蔻这个，信我～不脱妆！#持妆不假面@兰蔻LANCOME,2.4w,33,15,兰蔻持妆粉底液,Deep East Music《Stick Or Wistful》https://c.y.qq.com/base/fcgi-bin/u?__=C072QwD @QQ音乐,367
39,兰蔻LANCOME,#持妆不假面 新晋美妆达人@江疏影报道营业！用兰蔻持妆粉底液，打造透气感自然妆容,7.0w,900,454,兰蔻持妆粉底液,胡深《动物园里的大象与河马幸福的生活在了一起》https://c.y.qq.com/base/fcgi-bin/u?__=kT2JQwB @QQ音乐,83.9w
40,耳火Fendy,火爆全网的#持妆不假面 兰蔻粉底液的极限评测,7.8w,3996,5908,兰蔻持妆粉底液,D1ofaquavibe《The Party Troll》https://c.y.qq.com/base/fcgi-bin/u?__=AohJEwD @QQ音乐,77.0w
41,崔佳楠,第1集|拯救被误会的粉底液！买了持妆粉底液不会用？,2.1w,1410,281,兰蔻持妆粉底液,吴俊城 (오준성)《굳세어라 행진곡 (加油时刻进行曲) (Instrumental)》https://c.y.qq.com/base/fcgi-bin/u?__=dJkxEw6 @QQ音乐,104.1w
42,芒果吸吸,我来交作业啦 呼声zui高的兰蔻持妆的测评来了,1506,448,30,兰蔻持妆粉底液,分享你的二智bb的单曲《MOM (原唱：蜡笔小心)》: http://music.163.com/song/1433338551/?userid=1700718534 (来自@网易云音乐),16.4w
43,张铁锤SKY,你用过火遍全网的兰蔻持妆粉底液吗？#持妆不假面,40.3w,9582,1.6w,兰蔻持妆粉底液,Various Artists《西班牙斗牛士进行曲》https://c.y.qq.com/base/fcgi-bin/u?__=0tuDEwY @QQ音乐,165.3w
44,认真少女_颜九,跟我一起，画个伪的素颜妆出门吧,10.4w,2322,1085,兰蔻持妆粉底液,Kid Travis《SAD! & XO Tour Life (COVER)》https://c.y.qq.com/base/fcgi-bin/u?__=QcSDEwp @QQ音乐,880.5w
45,高端美妆培训师～小辉老师,＃持妆不假面＠兰蔻LANCOME兰蔻持妆粉底液，教你选色不踩雷，你的粉底液选对了吗,803,128,19,兰蔻持妆粉底液,分享Bizka的单曲《Marvin Gaye》: http://music.163.com/song/412493660/?userid=1700718534 (来自@网易云音乐),343
46,是萌哥哦！,兰蔻持妆粉底液来了！这个粉底液也太棒了！#美妆#兰蔻#粉底液,41,48,5,兰蔻持妆粉底液,4円 (ヨエン)《アイロニ (反语)》https://c.y.qq.com/base/fcgi-bin/u?__=w0lqQwU @QQ音乐,293
47,西西子的美丽传说,这个夏天用兰蔻持妆粉底液，给你的底妆透透气,6.1w,128,356,兰蔻持妆粉底液,分享出羽良彰的单曲《Yellow wagon》: http://music.163.com/song/28287114/?userid=1700718534 (来自@网易云音乐),264.7w
48,精致大姨夫,第3集|大姨夫护肤测评，雅诗兰黛小棕瓶精华,1.2w,3261,2535,雅诗兰黛小棕瓶,D1ofaquavibe《The Party Troll》https://c.y.qq.com/base/fcgi-bin/u?__=AohJEwD @QQ音乐,10.7w
49,美美噢买尬,小棕瓶or小黑瓶 该怎么选？,1.0w,127,15,雅诗兰黛小棕瓶,达多 (달다)《금요병 (周五病)》https://c.y.qq.com/base/fcgi-bin/u?__=VfZSEwt @QQ音乐,125.0w
50,付鹏FuPeng,爱买东西第一名,2.3w,3834,488,雅诗兰黛小棕瓶,Raphaël Beau《Micmacs à la gare》https://c.y.qq.com/base/fcgi-bin/u?__=5OanwwD @QQ音乐,571.0w
51,起司陈,#护肤￥小棕瓶#小黑瓶精华 雅诗兰黛小棕瓶跟兰蔻小黑瓶到底有什么区别,6.3w,654,1313,雅诗兰黛小棕瓶,Hailey Rowe《My Boyfriend Is Gay》https://c.y.qq.com/base/fcgi-bin/u?__=89A7Ewk @QQ音乐,111.2w
